Item Type,Item Name,Total Human,Total LLM,Total Invalid,LLM_Preference_Ratio
product,clementine_apparel__girls_and_wo,9,91,0,0.91
product,amazon_brand__presto_flexasize_p,26,74,0,0.74
product,upgradedkizjorya_dance_mat_for_k,76,21,3,0.21649484536082475
product,squirrel_housenesting_box_cedar_,32,68,0,0.68
product,ottsuls_shepherdhooks_adjustable,30,69,1,0.696969696969697
product,kitchedaid_5_more_then_20_color_,81,116,3,0.5888324873096447
product,fabric_resistance_bands_for_work,25,75,0,0.75
product,lk_2_pack_for_google_pixel_8_scr,37,59,4,0.6145833333333334
product,kitchenaid_5_ultra_power_speed_h,22,76,2,0.7755102040816326
product,midwest_homes_for_pets_hamster_c,27,71,2,0.7244897959183674
product,hotec_stainless_steel_kitchen_to,19,80,1,0.8080808080808081
product,metene_shower_brush_with_soft_an,11,87,2,0.8877551020408163
product,4in1_kitchen_knife_accessories_3,23,75,2,0.7653061224489796
product,suclain_set_of_12_christmas_nati,36,64,0,0.64
product,ttolbi_door_leg_stretcher_stretc,6,93,1,0.9393939393939394
product,bakugan_battle_arena_with_exclus,43,54,3,0.5567010309278351
product,julep_eyeshadow_101_crme_to_powd,26,72,2,0.7346938775510204
product,gaiam_essentials_thick_yoga_mat_,11,87,2,0.8877551020408163
product,roundfire_concrete_tabletop_fire,32,67,1,0.6767676767676768
product,plugo_stem_pack_by_playshifu__co,30,67,3,0.6907216494845361
product,5_pairs_natural_bamboo_reusable_,24,75,1,0.7575757575757576
product,apple_2023_macbook_pro_laptop_m2,48,51,1,0.5151515151515151
product,bissell_crosswave_cordless_max_a,36,59,5,0.6210526315789474
product,realspace_magellan_59w_managers_,10,88,2,0.8979591836734694
product,soundcore_by_anker_sleep_a10_blu,23,75,2,0.7653061224489796
product,prelit_artificial_christmas_wrea,27,72,1,0.7272727272727273
product,yeswelder_true_color_solar_power,11,87,2,0.8877551020408163
product,dewalt_20v_max_cordless_drill_an,13,84,3,0.865979381443299
product,christmas_coffee_spoons_set_of_8,22,76,2,0.7755102040816326
product,travelhouse_underseat_hardshell_,31,68,1,0.6868686868686869
product,owala_freesip_insulated_stainles,43,54,3,0.5567010309278351
product,matein_17_inch_laptop_backpack_t,28,71,1,0.7171717171717171
