,Total_Human,Total_LLM,Total_Invalid,LLM_Preference_Ratio
guiding_semisupervision_with_con,1,63,2,0.984375
a_sentimental_education_sentimen,1,61,4,0.9838709677419355
randomised_language_modelling_fo,2,62,2,0.96875
finding_parts_in_very_large_corp,4,59,3,0.9365079365079365
personalizing_pagerank_for_word_,5,59,2,0.921875
a_uniform_approach_to_analogies_,5,55,6,0.9166666666666666
reranking_and_selftraining_for_p,7,52,7,0.8813559322033898
chunking_with_support_vector_mac,7,51,8,0.8793103448275862
phrasal_cohesion_and_statistical,8,54,4,0.8709677419354839
an_algorithm_for_generating_quan,6,39,3,0.8666666666666667
finitestate_transducers_in_langu,6,38,4,0.8636363636363636
soft_syntactic_constraints_for_w,9,55,2,0.859375
corpus_variation_and_parser_perf,10,52,4,0.8387096774193549
a_comparison_of_vectorbased_repr,10,52,4,0.8387096774193549
categorial_unification_grammars,11,49,6,0.8166666666666667
multitext_grammars_and_synchrono,12,51,3,0.8095238095238095
machine_translation_by_triangula,13,49,4,0.7903225806451613
unsupervised_discovery_of_morphe,13,49,4,0.7903225806451613
statistical_machine_translation_,13,48,5,0.7868852459016393
a_new_dataset_and_method_for_aut,13,48,5,0.7868852459016393
semeval2010_task_13_tempeval2,13,48,5,0.7868852459016393
parsing_the_wall_street_journal_,14,49,3,0.7777777777777778
an_improved_error_model_for_nois,14,49,3,0.7777777777777778
representing_text_chunks,15,49,2,0.765625
learning_subjective_nouns_using_,14,44,8,0.7586206896551724
better_kbest_parsing,15,45,6,0.75
meaningful_clustering_of_senses_,16,47,3,0.746031746031746
the_alignment_template_approach_,12,35,1,0.7446808510638298
extraposition_grammars,17,47,2,0.734375
chart_generation,18,47,1,0.7230769230769231
local_phrase_reordering_models_f,18,46,2,0.71875
generating_natural_language_summ,13,33,2,0.717391304347826
indirecthmmbased_hypothesis_alig,17,43,6,0.7166666666666667
cut_and_paste_based_text_summari,18,44,4,0.7096774193548387
the_icsi_meeting_recorder_dialog,20,44,2,0.6875
improved_partofspeech_tagging_fo,20,42,4,0.6774193548387096
text_chunking_using_transformati,21,41,4,0.6612903225806451
bayesian_learning_of_a_tree_subs,23,42,1,0.6461538461538462
unsupervised_multilingual_learni,23,42,1,0.6461538461538462
tailoring_word_alignments_to_syn,23,41,2,0.640625
bayesian_word_sense_induction,22,38,6,0.6333333333333333
named_entity_recognition_with_ch,24,40,2,0.625
vectorbased_models_of_semantic_c,24,40,2,0.625
fully_unsupervised_discovery_of_,23,38,5,0.6229508196721312
modeling_local_coherence_an_enti,17,28,3,0.6222222222222222
a_regression_model_of_adjectiven,25,41,0,0.6212121212121212
a_monolingual_treebased_translat,25,40,1,0.6153846153846154
regular_models_of_phonological_r,17,27,4,0.6136363636363636
machine_learning_for_coreference,23,36,7,0.6101694915254238
better_hypothesis_testing_for_st,25,39,2,0.609375
guided_learning_for_bidirectiona,24,37,5,0.6065573770491803
whats_in_a_translation_rule,23,35,8,0.603448275862069
knowledgefree_induction_of_morph,25,38,3,0.6031746031746031
learning_subjective_language,18,27,3,0.6
a_classifierbased_parser_with_li,25,36,5,0.5901639344262295
semiring_parsing,19,27,2,0.5869565217391305
minimum_error_rate_training_in_s,27,38,1,0.5846153846153846
integrating_graphbased_and_trans,27,38,1,0.5846153846153846
improved_automatic_keyword_extra,27,38,1,0.5846153846153846
forest_rescoring_faster_decoding,26,36,4,0.5806451612903226
efficient_thirdorder_dependency_,26,36,4,0.5806451612903226
information_fusion_in_the_contex,26,34,6,0.5666666666666667
a_composite_kernel_to_extract_re,27,35,4,0.5645161290322581
transductive_learning_for_statis,26,33,7,0.559322033898305
joint_unsupervised_coreference_r,29,34,3,0.5396825396825397
named_entity_recognition_using_a,30,35,1,0.5384615384615384
cogniac_high_precision_coreferen,28,31,7,0.5254237288135594
nltk_the_natural_language_toolki,29,31,6,0.5166666666666667
linguistic_regularities_in_conti,29,31,6,0.5166666666666667
a_corpusbased_approach_for_build,30,31,5,0.5081967213114754
unsupervised_learning_of_disambi,31,30,5,0.4918032786885246
evaluating_the_accuracy_of_an_un,33,31,2,0.484375
the_reliability_of_a_dialogue_st,34,30,2,0.46875
the_second_release_of_the_rasp_s,31,26,9,0.45614035087719296
extracting_parallel_subsententia,35,29,2,0.453125
incorporating_nonlocal_informati,35,29,2,0.453125
pronunciation_modeling_for_impro,34,27,5,0.4426229508196721
two_languages_are_better_than_on,36,24,6,0.4
edgebased_bestfirst_chart_parsin,38,24,4,0.3870967741935484
ccgbank_a_corpus_of_ccg_derivati,27,15,6,0.35714285714285715
improving_machine_translation_pe,39,21,6,0.35
prototypedriven_learning_for_seq,41,20,5,0.32786885245901637
the_grammar_matrix_an_opensource,43,20,3,0.31746031746031744
statistical_decisiontree_models_,42,19,5,0.3114754098360656
a_study_on_similarity_and_relate,45,19,2,0.296875
chinese_syntactic_reordering_for,45,17,4,0.27419354838709675
widecoverage_efficient_statistic,30,10,8,0.25
integrating_multiple_knowledge_s,48,14,4,0.22580645161290322
sentence_level_discourse_parsing,50,13,3,0.20634920634920634
stochastic_lexicalized_treeadjoi,48,11,7,0.1864406779661017
deterministic_dependency_parsing,50,11,5,0.18032786885245902
a_maximum_entropy_model_for_part,51,11,4,0.1774193548387097
joshua_an_open_source_toolkit_fo,58,4,4,0.06451612903225806
