,Total_Human,Total_LLM,Total_Invalid,LLM_Preference_Ratio
cute_ballet_dance_bag_kidstutu_d,0,50,0,1.0
ginmewrae_women_fuzzy_socks_cozy,0,50,0,1.0
vans_womens_doheny_platform_snea,1,49,0,0.98
heytoo_9inch_glitter_women_handh,1,48,1,0.9795918367346939
olive_oil_sprayer_for_cooking_20,2,48,0,0.96
25oz_small_portable_gift_aromath,2,48,0,0.96
barbie_bluray__digital,2,47,1,0.9591836734693877
metene_shower_brush_with_soft_an,2,47,1,0.9591836734693877
gigizaza_gold_velvet_decorative_,3,47,0,0.94
gaiam_essentials_thick_yoga_mat_,3,47,0,0.94
manicure_set_personal_care_nail_,3,47,0,0.94
walkers_razor_slim_earmuffs_dyna,3,47,0,0.94
yeswelder_true_color_solar_power,3,47,0,0.94
amazon_basics_flextra_tall_kitch,3,46,1,0.9387755102040817
logitech_trackman_marble_2017_tr,4,46,0,0.92
ttolbi_door_leg_stretcher_stretc,4,46,0,0.92
clementine_apparel__girls_and_wo,4,46,0,0.92
electronic_organizer_travel_usb_,4,46,0,0.92
12_pack_cheesecloth_table_runner,4,45,1,0.9183673469387755
ariceleo_led_fairy_lights_batter,4,45,1,0.9183673469387755
maga_hat_make_america_great_agai,4,45,1,0.9183673469387755
rayban_rb2180_round_sunglasses,5,45,0,0.9
philips_sonicare_4100_power_toot,5,44,1,0.8979591836734694
stainless_steel_refrigerator_sho,5,44,1,0.8979591836734694
2_set_157_gold_circle_mirrors_wa,5,44,1,0.8979591836734694
cartman_39_piece_tool_set_genera,5,44,1,0.8979591836734694
yamiu_travel_shoe_bags_set_of_4_,5,44,1,0.8979591836734694
hotec_stainless_steel_kitchen_to,6,44,0,0.88
jack_henry_cleanse_hair_shampoo_,6,44,0,0.88
sqarr_mini_glass_prep_pinch_bowl,6,44,0,0.88
realspace_magellan_59w_managers_,6,44,0,0.88
redragon_k617_fizz_60_wired_rgb_,6,44,0,0.88
tscomon_41_cat_house_cat_tree_fo,6,43,1,0.8775510204081632
fionout_banana_duck_plush_pillow,6,43,1,0.8775510204081632
christmas_coffee_spoons_set_of_8,7,42,1,0.8571428571428571
hammam_linen_white_bath_towels_4,7,41,2,0.8541666666666666
just_my_size_wireless_bra_pack_f,8,42,0,0.84
ucanbe_athena_face_body_paint_oi,8,42,0,0.84
raymate_bluetooth_speakers_pair_,8,41,1,0.8367346938775511
gama_italy_professional_hair_dry,8,41,1,0.8367346938775511
breylee_aloe_vera_eye_mask_60_pc,8,41,1,0.8367346938775511
dewalt_20v_max_cordless_drill_an,8,41,1,0.8367346938775511
ki_puzzle_1000_piece_puzzle_for_,8,41,1,0.8367346938775511
maskiss_25pairs_24k_gold_under_e,8,41,1,0.8367346938775511
hasbro_gaming_taboo_kids_vs_pare,8,41,1,0.8367346938775511
mainstays_cool_mist_humidifier_1,9,40,1,0.8163265306122449
6pack3366610_ft_original_apple_m,9,40,1,0.8163265306122449
rokid_ar_joy_pack_ar_glasses_and,9,40,1,0.8163265306122449
board_game_azul,9,39,2,0.8125
yiview_sleep_mask_for_men_women_,10,40,0,0.8
kitchenaid_5_ultra_power_speed_h,10,40,0,0.8
cordless_handheld_standard_range,10,40,0,0.8
suphanlin_4_pack_snake_repellent,10,40,0,0.8
giant_fly_glue_trap_by_catchmast,10,40,0,0.8
5_pairs_natural_bamboo_reusable_,10,40,0,0.8
yingzhao_set_of_5_poinsettia_chr,10,40,0,0.8
sleep_headphones_3d_sleep_mask_b,10,39,1,0.7959183673469388
amazon_basics_easy_grip_workout_,10,39,1,0.7959183673469388
julep_eyeshadow_101_crme_to_powd,11,39,0,0.78
tosy_flying_disc__16_million_col,11,39,0,0.78
fisherprice_dc_batwheels_155_sca,11,39,0,0.78
the_republic_of_tea__limitededit,11,39,0,0.78
prelit_artificial_christmas_wrea,11,38,1,0.7755102040816326
legendary_whitetails_mens_buck_c,11,38,1,0.7755102040816326
