title,description_type,class_prob_human,class_prob_ai,class_prob_mixed,confidence_score_ai,confidence_score_human,confidence_score_mixed,confidence_score,predicted_class,LLM_win_ratio_gpt-4-1106-preview,LLM_win_ratio_gpt-3.5-turbo,LLM_win_ratio_gpt-3.5-turbo-1106,LLM_win_ratio_together-mistralai/Mixtral-8x22B-Instruct-v0.1,LLM_win_ratio_together-Qwen/Qwen1.5-4B-Chat,LLM_win_ratio_together-Qwen/Qwen1.5-14B-Chat,LLM_win_ratio_together-Qwen/Qwen1.5-72B-Chat,LLM_win_ratio_together-meta-llama/Meta-Llama-3.1-70B-Instruct-Turbo,LLM_win_ratio_together-Qwen/Qwen2.5-72B-Instruct-Turbo
kitchedaid_5_more_then_20_color_,human_description,0.9886619548292076,0.0113380451707924,0.0,0.0113380451707924,0.9886619548292076,0.0,0.9886619548292076,human,0.5,0.75,1.0,0.75,0.5625,0.875,0.5,0.5,0.25
kitchedaid_5_more_then_20_color_,llm_description,0.0,1.0,0.0,1.0,0.0,0.0,1.0,ai,0.5,0.75,1.0,0.75,0.5625,0.875,0.5,0.5,0.25
matein_17_inch_laptop_backpack_t,human_description,0.9610148666808178,0.0389406635210664,4.446979811567727e-05,0.0389406635210664,0.9610148666808178,4.446979811567727e-05,0.9610148666808178,human,0.5,1.0,1.0,1.0,0.625,0.75,0.625,0.5,1.0
matein_17_inch_laptop_backpack_t,llm_description,0.0,1.0,0.0,1.0,0.0,0.0,1.0,ai,0.5,1.0,1.0,1.0,0.625,0.75,0.625,0.5,1.0
stainless_steel_refrigerator_sho,human_description,0.4190417250252434,0.5809582749747565,0.0,0.5809582749747565,0.4190417250252434,0.0,0.5809582749747565,ai,1.0,1.0,1.0,1.0,0.125,1.0,1.0,1.0,1.0
stainless_steel_refrigerator_sho,llm_description,0.0,1.0,0.0,1.0,0.0,0.0,1.0,ai,1.0,1.0,1.0,1.0,0.125,1.0,1.0,1.0,1.0
philips_sonicare_4100_power_toot,human_description,0.9886619548292076,0.0113380451707924,0.0,0.0113380451707924,0.9886619548292076,0.0,0.9886619548292076,human,1.0,1.0,1.0,1.0,0.625,0.625,0.75,1.0,1.0
philips_sonicare_4100_power_toot,llm_description,0.1292153310651919,0.8705882930517305,0.0001963758830777,0.8705882930517305,0.1292153310651919,0.0001963758830777,0.8705882930517305,ai,1.0,1.0,1.0,1.0,0.625,0.625,0.75,1.0,1.0
metene_shower_brush_with_soft_an,human_description,0.9537978031008362,0.0462021968991638,0.0,0.0462021968991638,0.9537978031008362,0.0,0.9537978031008362,human,1.0,1.0,1.0,1.0,0.375,0.875,0.875,0.5,1.0
metene_shower_brush_with_soft_an,llm_description,0.239240091713069,0.7607599082869309,0.0,0.7607599082869309,0.239240091713069,0.0,0.7607599082869309,ai,1.0,1.0,1.0,1.0,0.375,0.875,0.875,0.5,1.0
