,Total_Human,Total_LLM,Total_Invalid,LLM_Preference_Ratio
barbie_bluray__digital,0,49,1,1.0
ginmewrae_women_fuzzy_socks_cozy,0,50,0,1.0
vans_womens_doheny_platform_snea,0,50,0,1.0
cute_ballet_dance_bag_kidstutu_d,1,48,1,0.9795918367346939
maga_hat_make_america_great_agai,1,47,2,0.9791666666666666
ttolbi_door_leg_stretcher_stretc,2,47,1,0.9591836734693877
raymate_bluetooth_speakers_pair_,3,47,0,0.94
logitech_trackman_marble_2017_tr,3,45,2,0.9375
realspace_magellan_59w_managers_,4,44,2,0.9166666666666666
cartman_39_piece_tool_set_genera,5,45,0,0.9
25oz_small_portable_gift_aromath,5,45,0,0.9
clementine_apparel__girls_and_wo,5,45,0,0.9
gigizaza_gold_velvet_decorative_,5,45,0,0.9
amazon_basics_easy_grip_workout_,5,45,0,0.9
12_pack_cheesecloth_table_runner,5,45,0,0.9
olive_oil_sprayer_for_cooking_20,5,44,1,0.8979591836734694
jack_henry_cleanse_hair_shampoo_,5,44,1,0.8979591836734694
dewalt_20v_max_cordless_drill_an,5,43,2,0.8958333333333334
ucanbe_athena_face_body_paint_oi,6,44,0,0.88
manicure_set_personal_care_nail_,6,44,0,0.88
gama_italy_professional_hair_dry,6,42,2,0.875
rayban_rb2180_round_sunglasses,7,43,0,0.86
amazon_basics_flextra_tall_kitch,7,42,1,0.8571428571428571
sqarr_mini_glass_prep_pinch_bowl,7,42,1,0.8571428571428571
philips_sonicare_4100_power_toot,7,42,1,0.8571428571428571
redragon_k617_fizz_60_wired_rgb_,7,41,2,0.8541666666666666
yamiu_travel_shoe_bags_set_of_4_,7,41,2,0.8541666666666666
fionout_banana_duck_plush_pillow,8,42,0,0.84
yingzhao_set_of_5_poinsettia_chr,8,42,0,0.84
lowrance_hook_reveal_9_inch_fish,8,42,0,0.84
ki_puzzle_1000_piece_puzzle_for_,8,41,1,0.8367346938775511
gaiam_essentials_thick_yoga_mat_,8,40,2,0.8333333333333334
yeswelder_true_color_solar_power,8,40,2,0.8333333333333334
ariceleo_led_fairy_lights_batter,9,41,0,0.82
stainless_steel_refrigerator_sho,9,41,0,0.82
the_republic_of_tea__limitededit,9,40,1,0.8163265306122449
