Item Type,Item Title,Description Model,Human Prefers LLM (ratio),LLM Prefers LLM (ratio),Human Prefers LLM - LLM Prefers LLM
movie,a_matter_of_time,gpt-3.5-turbo,1.0,0.5,0.5
movie,aayirathil_oruvan,gpt-3.5-turbo,0.0,0.5,-0.5
movie,aayirathil_oruvan,gpt-4-1106-preview,0.0,0.5,-0.5
movie,amistad,gpt-3.5-turbo,1.0,0.5,0.5
movie,andaru_dongale_dorikithe,gpt-3.5-turbo,1.0,0.5,0.5
movie,arthur_christmas,gpt-3.5-turbo,1.0,0.5,0.5
movie,arthur_christmas,gpt-4-1106-preview,0.6666666666666666,0.5,0.16666666666666663
movie,ask_a_policeman,gpt-3.5-turbo,0.5,0.5,0.0
movie,ask_a_policeman,gpt-4-1106-preview,0.6666666666666666,0.5,0.16666666666666663
movie,attack_of_the_killer_tomatoes,gpt-3.5-turbo,1.0,0.5,0.5
movie,attack_of_the_killer_tomatoes,gpt-4-1106-preview,0.3333333333333333,1.0,-0.6666666666666667
movie,camerons_closet,gpt-3.5-turbo,0.0,0.0,0.0
movie,camerons_closet,gpt-4-1106-preview,0.3333333333333333,0.5,-0.16666666666666669
movie,colors,gpt-3.5-turbo,0.0,0.5,-0.5
movie,condorman,gpt-3.5-turbo,0.3333333333333333,0.5,-0.16666666666666669
movie,condorman,gpt-4-1106-preview,0.6666666666666666,0.5,0.16666666666666663
movie,dantes_peak,gpt-3.5-turbo,0.0,0.0,0.0
movie,dantes_peak,gpt-4-1106-preview,0.3333333333333333,1.0,-0.6666666666666667
movie,duet,gpt-3.5-turbo,1.0,0.5,0.5
movie,duet,gpt-4-1106-preview,0.0,0.5,-0.5
movie,gamera_vs,gpt-3.5-turbo,0.5,,
movie,gamera_vs,gpt-4-1106-preview,0.3333333333333333,,
movie,gattaca,gpt-3.5-turbo,0.0,0.5,-0.5
movie,gratefulness,gpt-3.5-turbo,0.0,0.5,-0.5
movie,hitman,gpt-3.5-turbo,1.0,0.5,0.5
