,Total_Human,Total_LLM,Total_Invalid,LLM_Preference_Ratio
12_pack_cheesecloth_table_runner,4.5,45.0,0.5,0.9091836734693878
200_cigarettes,18.0,28.0,4.0,0.6086956521739131
25oz_small_portable_gift_aromath,3.5,46.5,0.0,0.9299999999999999
2_set_157_gold_circle_mirrors_wa,8.5,40.0,1.5,0.8239795918367347
3pack_italy_travel_power_adapter,14.5,35.0,0.5,0.7073469387755102
4in1_kitchen_knife_accessories_3,11.5,37.5,1.0,0.76625
5_pairs_natural_bamboo_reusable_,12.0,37.5,0.5,0.7571428571428571
6pack3366610_ft_original_apple_m,11.0,38.0,1.0,0.7755102040816326
a_better_tomorrow_2,26.0,21.0,3.0,0.44680851063829785
a_case_of_rape,11.0,38.0,1.0,0.7755102040816326
a_classifierbased_parser_with_li,25.0,36.0,5.0,0.5901639344262295
a_comparison_of_vectorbased_repr,10.0,52.0,4.0,0.8387096774193549
a_composite_kernel_to_extract_re,27.0,35.0,4.0,0.5645161290322581
a_corpusbased_approach_for_build,30.0,31.0,5.0,0.5081967213114754
a_matter_of_time,24.0,22.0,4.0,0.4782608695652174
a_maximum_entropy_model_for_part,51.0,11.0,4.0,0.1774193548387097
a_monolingual_treebased_translat,25.0,40.0,1.0,0.6153846153846154
a_new_dataset_and_method_for_aut,13.0,48.0,5.0,0.7868852459016393
a_regression_model_of_adjectiven,25.0,41.0,0.0,0.6212121212121212
a_sentimental_education_sentimen,1.0,61.0,4.0,0.9838709677419355
a_study_on_similarity_and_relate,45.0,19.0,2.0,0.296875
a_uniform_approach_to_analogies_,5.0,55.0,6.0,0.9166666666666666
aage_se_right,22.0,27.0,1.0,0.5510204081632653
aayirathil_oruvan,20.0,28.0,2.0,0.5833333333333334
akira,13.0,35.0,2.0,0.7291666666666666
amazon_basics_easy_grip_workout_,7.5,42.0,0.5,0.8479591836734695
amazon_basics_flextra_tall_kitch,5.0,44.0,1.0,0.8979591836734694
amazon_brand__presto_flexasize_p,13.0,37.0,0.0,0.74
amistad,24.0,24.0,2.0,0.5
an_algorithm_for_generating_quan,6.0,39.0,3.0,0.8666666666666667
an_improved_error_model_for_nois,14.0,49.0,3.0,0.7777777777777778
anantana_avantara,26.0,21.0,3.0,0.44680851063829785
andaru_dongale_dorikithe,13.0,34.0,3.0,0.723404255319149
angaaray,12.0,36.0,2.0,0.75
apple_2023_macbook_pro_laptop_m2,24.0,25.5,0.5,0.5151020408163265
arena,27.0,21.0,2.0,0.4375
ariceleo_led_fairy_lights_batter,6.5,43.0,0.5,0.8691836734693877
arthur_christmas,17.0,27.0,6.0,0.6136363636363636
ask_a_policeman,19.0,29.0,2.0,0.6041666666666666
attack_of_the_killer_tomatoes,16.0,32.0,2.0,0.6666666666666666
avapow_car_jump_starter_4000a_pe,17.0,32.5,0.5,0.656530612244898
azhagi,15.0,31.0,4.0,0.6739130434782609
back_to_the_woods,26.0,18.0,6.0,0.4090909090909091
bad_blood,3.0,43.0,4.0,0.9347826086956522
bakugan_battle_arena_with_exclus,21.5,27.0,1.5,0.5565476190476191
baran,20.0,26.0,4.0,0.5652173913043478
barbie_bluray__digital,1.0,48.0,1.0,0.9795918367346939
barefoot_in_the_park,18.0,23.0,9.0,0.5609756097560976
bartok_the_magnificent,23.0,25.0,2.0,0.5208333333333334
bayesian_learning_of_a_tree_subs,23.0,42.0,1.0,0.6461538461538462
bayesian_word_sense_induction,22.0,38.0,6.0,0.6333333333333333
beneath_hill_60,12.0,32.0,6.0,0.7272727272727273
better_hypothesis_testing_for_st,25.0,39.0,2.0,0.609375
better_kbest_parsing,15.0,45.0,6.0,0.75
billy_two_hats,17.0,31.0,2.0,0.6458333333333334
bingopaw_playpen_welded_wire_dog,13.5,35.0,1.5,0.721938775510204
bissell_crosswave_cordless_max_a,18.0,29.5,2.5,0.6213398402839396
bitter_moon,16.0,28.0,6.0,0.6363636363636364
black_belt_jones,22.0,28.0,0.0,0.56
blisstrends_foot_rest_for_under_,21.0,29.0,0.0,0.5800000000000001
blood_reign_curse_of_the_yoma,23.0,22.0,5.0,0.4888888888888889
board_game_azul,14.5,34.5,1.0,0.70625
bose_soundlink_flex_bluetooth_sp,18.0,30.5,1.5,0.6288265306122449
brassed_off,24.0,23.0,3.0,0.48936170212765956
breezy,8.0,39.0,3.0,0.8297872340425532
breylee_aloe_vera_eye_mask_60_pc,10.5,38.0,1.5,0.7829506802721089
bulova_mens_marine_star_gold_chr,15.0,34.5,0.5,0.6977551020408164
by_dawns_early_light,17.0,29.0,4.0,0.6304347826086957
camerons_closet,23.0,23.0,4.0,0.5
captivity,9.0,37.0,4.0,0.8043478260869565
cartman_39_piece_tool_set_genera,5.0,44.5,0.5,0.8989795918367347
categorial_unification_grammars,11.0,49.0,6.0,0.8166666666666667
cats__dogs,9.0,36.0,5.0,0.8
catwoman,12.0,37.0,1.0,0.7551020408163265
ccgbank_a_corpus_of_ccg_derivati,27.0,15.0,6.0,0.35714285714285715
chakkikotha_chankaran,6.0,41.0,3.0,0.8723404255319149
chandamama,18.0,30.0,2.0,0.625
charas,15.0,30.0,5.0,0.6666666666666666
chart_generation,18.0,47.0,1.0,0.7230769230769231
children_of_the_corn_iii_urban_h,25.0,25.0,0.0,0.5
chinese_syntactic_reordering_for,45.0,17.0,4.0,0.27419354838709675
christmas_coffee_spoons_set_of_8,11.0,38.0,1.0,0.7755102040816326
christmas_story,31.0,13.0,6.0,0.29545454545454547
chunking_with_support_vector_mac,7.0,51.0,8.0,0.8793103448275862
clementine_apparel__girls_and_wo,4.5,45.5,0.0,0.91
cleopatra,12.0,35.0,3.0,0.7446808510638298
click,24.0,24.0,2.0,0.5
cogniac_high_precision_coreferen,28.0,31.0,7.0,0.5254237288135594
colors,16.0,27.0,7.0,0.627906976744186
condorman,18.0,28.0,4.0,0.6086956521739131
conrack,9.0,33.0,8.0,0.7857142857142857
cordless_handheld_standard_range,10.0,40.0,0.0,0.8
corporate,11.0,36.0,3.0,0.7659574468085106
corpus_variation_and_parser_perf,10.0,52.0,4.0,0.8387096774193549
cosori_food_dehydrator_for_jerky,25.5,23.5,1.0,0.47875
cozsinoor_queen_size_cooling_bed,17.0,31.5,1.5,0.6488095238095238
critters_2_the_main_course,31.0,17.0,2.0,0.3541666666666667
cursed,16.0,32.0,2.0,0.6666666666666666
cut_and_paste_based_text_summari,18.0,44.0,4.0,0.7096774193548387
cute_ballet_dance_bag_kidstutu_d,0.5,49.0,0.5,0.9897959183673469
daddy_cool,8.0,39.0,3.0,0.8297872340425532
daffy_duck_slept_here,28.0,22.0,0.0,0.44
daivanamathil,14.0,35.0,1.0,0.7142857142857143
dantes_peak,18.0,30.0,2.0,0.625
darkecho_gaming_office_chair_wit,22.5,26.5,1.0,0.5408333333333333
das_experiment,21.0,26.0,3.0,0.5531914893617021
dead_alive,21.0,28.0,1.0,0.5714285714285714
dead_ringer,10.0,39.0,1.0,0.7959183673469388
deadgirl,9.0,37.0,4.0,0.8043478260869565
deterministic_dependency_parsing,50.0,11.0,5.0,0.18032786885245902
devils_diary,20.0,26.0,4.0,0.5652173913043478
dewalt_20v_max_cordless_drill_an,6.5,42.0,1.5,0.8662840136054422
die_stadt_ohne_juden,15.0,31.0,4.0,0.6739130434782609
don_the_chase_begins_again,4.0,44.0,2.0,0.9166666666666666
dont_look_now,14.0,32.0,4.0,0.6956521739130435
doomsday,19.0,30.0,1.0,0.6122448979591837
duet,17.0,32.0,1.0,0.6530612244897959
dust_be_my_destiny,19.0,29.0,2.0,0.6041666666666666
eating_out_5_the_open_weekend,16.0,30.0,4.0,0.6521739130434783
edgebased_bestfirst_chart_parsin,38.0,24.0,4.0,0.3870967741935484
ee_parakkum_thalika,15.0,30.0,5.0,0.6666666666666666
efficient_thirdorder_dependency_,26.0,36.0,4.0,0.5806451612903226
electronic_organizer_travel_usb_,10.5,39.5,0.0,0.79
evaluating_the_accuracy_of_an_un,33.0,31.0,2.0,0.484375
eves_bayou,13.0,28.0,9.0,0.6829268292682927
expresso,24.0,22.0,4.0,0.4782608695652174
extracting_parallel_subsententia,35.0,29.0,2.0,0.453125
extraposition_grammars,17.0,47.0,2.0,0.734375
fabric_resistance_bands_for_work,12.5,37.5,0.0,0.75
fear_in_the_night,28.0,20.0,2.0,0.4166666666666667
final_storm,11.0,35.0,4.0,0.7608695652173914
finding_parts_in_very_large_corp,4.0,59.0,3.0,0.9365079365079365
finitestate_transducers_in_langu,6.0,38.0,4.0,0.8636363636363636
fionout_banana_duck_plush_pillow,7.0,42.5,0.5,0.8587755102040816
fisherprice_dc_batwheels_155_sca,13.5,36.5,0.0,0.73
five_and_dime,14.0,34.0,2.0,0.7083333333333334
flashbacks_of_a_fool,23.0,22.0,5.0,0.4888888888888889
forest_rescoring_faster_decoding,26.0,36.0,4.0,0.5806451612903226
fully_unsupervised_discovery_of_,23.0,38.0,5.0,0.6229508196721312
funny_about_love,25.0,24.0,1.0,0.4897959183673469
gaiam_essentials_thick_yoga_mat_,5.5,43.5,1.0,0.8866666666666667
gama_italy_professional_hair_dry,7.0,41.5,1.5,0.8558673469387755
gamera_vs_viras,20.0,27.0,3.0,0.574468085106383
garmin_instinct_2_solar_surfedit,24.5,22.5,3.0,0.4787234042553191
gattaca,21.0,23.0,6.0,0.5227272727272727
generating_natural_language_summ,13.0,33.0,2.0,0.717391304347826
george_of_the_jungle,15.0,31.0,4.0,0.6739130434782609
giant_fly_glue_trap_by_catchmast,12.5,37.0,0.5,0.7469387755102042
gifted_hands_the_ben_carson_stor,18.0,29.0,3.0,0.6170212765957447
gigi,13.0,34.0,3.0,0.723404255319149
gigizaza_gold_velvet_decorative_,4.0,46.0,0.0,0.9199999999999999
ginmewrae_women_fuzzy_socks_cozy,0.0,50.0,0.0,1.0
girl_interrupted,15.0,27.0,8.0,0.6428571428571429
going_under,12.0,32.0,6.0,0.7272727272727273
goofs_and_saddles,25.0,22.0,3.0,0.46808510638297873
gorilla_carts_gor400com_steel_ga,21.5,26.0,2.5,0.5459183673469388
gratefulness,22.0,23.0,5.0,0.5111111111111111
guided_learning_for_bidirectiona,24.0,37.0,5.0,0.6065573770491803
guiding_semisupervision_with_con,1.0,63.0,2.0,0.984375
halloweentown_high,29.0,18.0,3.0,0.3829787234042553
hammam_linen_white_bath_towels_4,8.0,40.0,2.0,0.8333333333333333
hasbro_gaming_taboo_kids_vs_pare,10.0,38.0,2.0,0.7907077724706904
helen_of_four_gates,12.0,35.0,3.0,0.7446808510638298
heytoo_9inch_glitter_women_handh,5.0,43.5,1.5,0.8960459183673469
high_on_crack_street_lost_lives_,19.0,25.0,6.0,0.5681818181818182
hitman,14.0,34.0,2.0,0.7083333333333334
hollow_triumph,18.0,25.0,7.0,0.5813953488372093
homam,16.0,31.0,3.0,0.6595744680851063
hot_blood,16.0,30.0,4.0,0.6521739130434783
hotec_stainless_steel_kitchen_to,9.5,40.0,0.5,0.8073469387755102
house_of_the_dead,16.0,32.0,2.0,0.6666666666666666
humanit,8.0,40.0,2.0,0.8333333333333334
hydroponics_growing_system_12_po,29.0,20.5,0.5,0.41306122448979593
i_was_a_teenage_frankenstein,9.0,40.0,1.0,0.8163265306122449
igby_goes_down,20.0,25.0,5.0,0.5555555555555556
improved_automatic_keyword_extra,27.0,38.0,1.0,0.5846153846153846
improved_partofspeech_tagging_fo,20.0,42.0,4.0,0.6774193548387096
improving_machine_translation_pe,39.0,21.0,6.0,0.35
incorporating_nonlocal_informati,35.0,29.0,2.0,0.453125
indirecthmmbased_hypothesis_alig,17.0,43.0,6.0,0.7166666666666667
information_fusion_in_the_contex,26.0,34.0,6.0,0.5666666666666667
inspector_gadget,14.0,35.0,1.0,0.7142857142857143
integrating_graphbased_and_trans,27.0,38.0,1.0,0.5846153846153846
integrating_multiple_knowledge_s,48.0,14.0,4.0,0.22580645161290322
intent_to_kill,14.0,32.0,4.0,0.6956521739130435
interview_with_the_assassin,16.0,30.0,4.0,0.6521739130434783
isi_life_mein,28.0,20.0,2.0,0.4166666666666667
jack_henry_cleanse_hair_shampoo_,5.5,44.0,0.5,0.8889795918367347
jewel,31.0,13.0,6.0,0.29545454545454547
joint_unsupervised_coreference_r,29.0,34.0,3.0,0.5396825396825397
joshua_an_open_source_toolkit_fo,58.0,4.0,4.0,0.06451612903225806
julai,13.0,34.0,3.0,0.723404255319149
julep_eyeshadow_101_crme_to_powd,13.0,36.0,1.0,0.73375
jump_rope_tanglefree_rapid_speed,21.0,27.5,1.5,0.5669642857142857
jungle_jingles,8.0,37.0,5.0,0.8222222222222222
just_my_size_wireless_bra_pack_f,12.5,36.5,1.0,0.7429166666666667
kadhalukku_mariyadhai,18.0,30.0,2.0,0.625
keurig_kcompact_singleserve_kcup,25.0,24.0,1.0,0.4897959183673469
khumba,18.0,26.0,6.0,0.5909090909090909
ki_puzzle_1000_piece_puzzle_for_,8.0,41.0,1.0,0.8367346938775511
king,13.0,28.0,9.0,0.6829268292682927
kingdom_of_the_spiders,18.0,31.0,1.0,0.6326530612244898
kissair_compact_1500w750w_space_,30.0,18.0,2.0,0.375
kitchedaid_5_more_then_20_color_,40.5,58.0,1.5,0.5887961245104102
kitchenaid_5_ultra_power_speed_h,11.0,38.0,1.0,0.775
knights_of_the_city,18.0,28.0,4.0,0.6086956521739131
knowledgefree_induction_of_morph,25.0,38.0,3.0,0.6031746031746031
kung_pow_enter_the_fist,13.0,30.0,7.0,0.6976744186046512
la_religieuse,8.0,39.0,3.0,0.8297872340425532
law_of_desire,16.0,32.0,2.0,0.6666666666666666
lawless,16.0,29.0,5.0,0.6444444444444445
lawman,3.0,47.0,0.0,0.94
learning_subjective_language,18.0,27.0,3.0,0.6
learning_subjective_nouns_using_,14.0,44.0,8.0,0.7586206896551724
leatherheads,26.0,22.0,2.0,0.4583333333333333
legendary_whitetails_mens_buck_c,14.0,34.5,1.5,0.710671768707483
less_than_zero,11.0,38.0,1.0,0.7755102040816326
lincoln_electric_leather_welding,12.0,37.0,1.0,0.7558333333333334
linguistic_regularities_in_conti,29.0,31.0,6.0,0.5166666666666667
little_quacker,25.0,22.0,3.0,0.46808510638297873
lk_2_pack_for_google_pixel_8_scr,18.5,29.5,2.0,0.6145833333333333
local_phrase_reordering_models_f,18.0,46.0,2.0,0.71875
logitech_trackman_marble_2017_tr,3.5,45.5,1.0,0.92875
lost_in_america,9.0,33.0,8.0,0.7857142857142857
love_exposure,10.0,37.0,3.0,0.7872340425531915
love_with_the_proper_stranger,15.0,28.0,7.0,0.6511627906976745
lowrance_hook_reveal_9_inch_fish,10.0,40.0,0.0,0.8
lucky_no_time_for_love,24.0,20.0,6.0,0.45454545454545453
luna_de_miel,27.0,18.0,5.0,0.4
machine_learning_for_coreference,23.0,36.0,7.0,0.6101694915254238
machine_translation_by_triangula,13.0,49.0,4.0,0.7903225806451613
mad_hot_ballroom,18.0,24.0,8.0,0.5714285714285714
madadayo,13.0,34.0,3.0,0.723404255319149
maduve_mane,19.0,25.0,6.0,0.5681818181818182
maga_hat_make_america_great_agai,2.5,46.0,1.5,0.9487670068027211
mainstays_cool_mist_humidifier_1,11.0,38.5,0.5,0.7781632653061225
majunu,21.0,28.0,1.0,0.5714285714285714
manicure_set_personal_care_nail_,4.5,45.5,0.0,0.9099999999999999
marked_woman,14.0,33.0,3.0,0.7021276595744681
maskiss_25pairs_24k_gold_under_e,10.5,38.0,1.5,0.7829506802721089
matein_17_inch_laptop_backpack_t,14.0,35.5,0.5,0.7169387755102041
me_and_orson_welles,10.0,36.0,4.0,0.782608695652174
meaningful_clustering_of_senses_,16.0,47.0,3.0,0.746031746031746
meet_joe_black,15.0,31.0,4.0,0.6739130434782609
mera_naam_joker,18.0,30.0,2.0,0.625
mereka_bilang_saya_monyet,9.0,34.0,7.0,0.7906976744186046
metene_shower_brush_with_soft_an,5.5,43.5,1.0,0.8877551020408163
mice_follies,21.0,25.0,4.0,0.5434782608695652
midwest_homes_for_pets_hamster_c,13.5,35.5,1.0,0.7244897959183674
mimic_2,21.0,28.0,1.0,0.5714285714285714
minimum_error_rate_training_in_s,27.0,38.0,1.0,0.5846153846153846
modeling_local_coherence_an_enti,17.0,28.0,3.0,0.6222222222222222
mogambo,14.0,33.0,3.0,0.7021276595744681
moneyball,17.0,31.0,2.0,0.6458333333333334
more_than_a_secretary,8.0,39.0,3.0,0.8297872340425532
multiple_maniacs,17.0,33.0,0.0,0.66
multitext_grammars_and_synchrono,12.0,51.0,3.0,0.8095238095238095
murder_he_says,23.0,22.0,5.0,0.4888888888888889
my_girl_and_i,21.0,24.0,5.0,0.5333333333333333
my_neighbor_totoro,18.0,25.0,7.0,0.5813953488372093
mysteries_of_a_barbershop,19.0,31.0,0.0,0.62
naalu_pennungal,15.0,29.0,6.0,0.6590909090909091
named_entity_recognition_using_a,30.0,35.0,1.0,0.5384615384615384
